,new_mw,WIND,SOLAR
0,existing,0.13765638678649394,0.3026332327802917
1,1000,0.11286469781891037,0.2778378910092464
2,2000,0.10490695097866061,0.23779689390549139
3,3000,0.09777611132966164,0.18201230362499363
4,4000,0.09092402280856854,0.14497671978490415
5,5000,0.08735665069260652,0.10423814496212662
6,6000,0.08365179273912575,0.07919362947825956
7,7000,0.07916994492525578,0.0669463298139769
8,8000,0.0778552963278151,0.06022297896160851
9,9000,0.07427062091555725,0.05705089331529598
10,10000,0.07250117222579847,0.0432431565097396
