,dly cf
0,0.252749722
1,0.272535944
2,0.40423938
3,0.354828593
4,0.323016218
5,0.340765316
6,0.399337685
7,0.423490929
8,0.476964383
9,0.391359909
10,0.337201584
11,0.416034467
12,0.491826472
13,0.471098579
14,0.447473388
15,0.407102062
16,0.493848605
17,0.44860071
18,0.430913776
19,0.490053257
20,0.515526715
21,0.498808259
22,0.527435935
23,0.459098329
24,0.451744372
25,0.405889649
26,0.55226069
27,0.550619325
28,0.524137596
29,0.540786083
30,0.505263158
31,0.467640286
32,0.465463955
33,0.53519181
34,0.510486035
35,0.525705596
36,0.553988815
37,0.520361937
38,0.479794615
39,0.437892557
40,0.495615541
41,0.477766947
42,0.49045698
43,0.515470297
44,0.570413185
45,0.417790414
46,0.431046479
47,0.448964361
48,0.463154939
49,0.45578711
50,0.469295861
51,0.433339211
52,0.319804964
53,0.330289157
54,0.474707933
55,0.427283736
56,0.466581024
57,0.457768074
58,0.465045445
59,0.433821918
60,0.450542422
61,0.453951424
62,0.424057809
63,0.440758115
64,0.383229551
65,0.356352331
66,0.276769576
67,0.351741522
68,0.400601246
69,0.437101648
70,0.439571527
71,0.328138818
72,0.374236509
73,0.37260961
74,0.466887536
75,0.450040166
76,0.482082053
77,0.446957878
78,0.350355251
79,0.405824513
80,0.365030304
81,0.414608588
82,0.401150852
83,0.390034982
84,0.364773693
85,0.363448725
86,0.357365701
87,0.284175389
88,0.414609687
89,0.460789986
90,0.44976954
91,0.413141479
92,0.424949278
93,0.397042833
94,0.385987091
95,0.42843508
96,0.426534638
97,0.482410324
98,0.319055573
99,0.323549687
100,0.341644025
101,0.378818008
102,0.350501114
103,0.410757228
104,0.566489858
105,0.446136049
106,0.547848734
107,0.386078311
108,0.327288658
109,0.431997559
110,0.290727384
111,0.466770116
112,0.521158011
113,0.562074664
114,0.360632165
115,0.267874437
116,0.355401734
117,0.44969025
118,0.351911884
119,0.461302548
120,0.447109926
121,0.333659365
122,0.334720947
123,0.412918809
124,0.479814701
125,0.454735605
126,0.415772784
127,0.49252208
128,0.486568061
129,0.523122322
130,0.596040161
131,0.545728223
132,0.522928301
133,0.418139165
134,0.508524707
135,0.378745901
136,0.283127059
137,0.282669843
138,0.319345379
139,0.408817183
140,0.506976632
141,0.57114081
142,0.590640323
143,0.478714994
144,0.60654578
145,0.5992381
146,0.584562855
147,0.558826461
148,0.567084056
149,0.411033097
150,0.468833804
151,0.468848864
152,0.499723483
153,0.520016408
154,0.488695652
155,0.568140295
156,0.494864227
157,0.444870486
158,0.485793813
159,0.511681803
160,0.437121609
161,0.413030626
162,0.428525323
163,0.335867279
164,0.324918723
165,0.423840104
166,0.437537655
167,0.458891452
168,0.509010553
169,0.543586694
170,0.518294892
171,0.548206393
172,0.558745202
173,0.474154435
174,0.345920568
175,0.435051041
176,0.494185824
177,0.473943206
178,0.507543511
179,0.585667248
180,0.595036343
181,0.576033123
182,0.561138833
183,0.571713749
184,0.553958828
185,0.518585687
186,0.565794871
187,0.56055477
188,0.574105278
189,0.643970315
190,0.631001138
191,0.50313787
192,0.52079141
193,0.51342114
194,0.500417912
195,0.508782854
196,0.46864372
197,0.497153422
198,0.536499704
199,0.460374661
200,0.543108495
201,0.522577648
202,0.522230456
203,0.51844822
204,0.487206133
205,0.485831536
206,0.484074533
207,0.52585981
208,0.515491194
209,0.490625047
210,0.454073025
211,0.439431638
212,0.427695109
213,0.393983044
214,0.411602539
215,0.438593831
216,0.382231374
217,0.421623268
218,0.445081538
219,0.447072072
220,0.40132076
221,0.468117691
222,0.488242564
223,0.507742829
224,0.472353375
225,0.412206353
226,0.384063415
227,0.360320298
228,0.40707415
229,0.378082236
230,0.368232296
231,0.349639596
232,0.386048317
233,0.346965864
234,0.323899561
235,0.359062407
236,0.333830677
237,0.301135534
238,0.319290042
239,0.301934647
240,0.281242501
241,0.334553707
242,0.332719411
243,0.347814721
244,0.343229758
245,0.374554789
246,0.382657387
247,0.362591301
248,0.35400142
249,0.374864084
250,0.414224865
251,0.421688075
252,0.415854935
253,0.42177236
254,0.385702212
255,0.386510903
256,0.434708551
257,0.432848912
258,0.401039532
259,0.485613203
260,0.477231989
261,0.429309765
262,0.372703871
263,0.430910726
264,0.448229639
265,0.440534824
266,0.43510378
267,0.413677213
268,0.370801414
269,0.364232321
270,0.511002523
271,0.42691558
272,0.410472849
273,0.475794428
274,0.500122721
275,0.522569444
276,0.486416667
277,0.497702842
278,0.47567208
279,0.468831386
280,0.560094311
281,0.475709379
282,0.359731485
283,0.378660901
284,0.286290752
285,0.435426267
286,0.459419948
287,0.496311085
288,0.56269202
289,0.455926436
290,0.393740232
291,0.59849127
292,0.593995628
293,0.546444538
294,0.571899956
295,0.391819566
296,0.527309418
297,0.513006815
298,0.580836218
299,0.64826019
300,0.579313696
301,0.535807756
302,0.535138785
303,0.512627427
304,0.324152712
305,0.451268056
306,0.450976076
307,0.343467887
308,0.413198607
309,0.427702254
310,0.291497599
311,0.352008512
312,0.44021725
313,0.34949013
314,0.404776567
315,0.590638961
316,0.600827117
317,0.527041091
318,0.405621773
319,0.524425838
320,0.587744305
321,0.669701291
322,0.494597987
323,0.463844195
324,0.574181942
325,0.586015688
326,0.612896746
327,0.647164932
328,0.627675223
329,0.616065282
330,0.617295461
331,0.529365402
332,0.522993849
333,0.460808641
334,0.421606593
335,0.46335478
336,0.454708237
337,0.496144028
338,0.54513427
339,0.53076368
340,0.599593819
341,0.640092697
342,0.596484992
343,0.578161314
344,0.543421456
345,0.420529489
346,0.494025853
347,0.494871795
348,0.530882458
349,0.529423208
350,0.571677457
351,0.514724489
352,0.367975251
353,0.357620328
354,0.465442119
355,0.469719256
356,0.386220083
357,0.423782557
358,0.386861551
359,0.413049801
360,0.394086409
361,0.363976598
362,0.470335923
363,0.409134273
364,0.483321583
