label,coders_from,coders_to,type
AB-US-Montana,AB,US-Montana,international
BC-AB,BC,AB,interprovincial
BC-US-Northwest,BC,US-Northwest,international
MB-MISO-Dakota,MB,MISO-Dakota,international
NB-ISONE-Maine,NB,ISONE-Maine,international
NB-NMISA-NorthernMaine,NB,NMISA-NorthernMaine,international
NB-NS,NB,NS,interprovincial
NB-PEI,NB,PEI,interprovincial
NB-QC,NB,QC,interprovincial
NLLAB-NS,NLLAB,NS,interprovincial
NLLAB-QC,NLLAB,QC,interprovincial
ON-MB,ON,MB,interprovincial
ON-MISO-Michigan,ON,MISO-Michigan,international
ON-MISO-Minnesota,ON,MISO-Minnesota,international
ON-NYISO-West,ON,NYISO-West,international
ON-QC,ON,QC,interprovincial
QC-NYISO-HQ,QC,NYISO-HQ,international
QC-HVDC-ISONE,QC-HVDC,ISONE,international
AB-SK,AB,SK,interprovincial
SK-MB,SK,MB,interprovincial
SK-MISO-Dakota,SK,MISO-Dakota,international
