tech,include_new,coders_equivs,input_comm,output_comm,new_cap_batches,flag,tech_sets,include_fuel_cost
E_BIO_M,TRUE,BIOMASS+MSW,biomass,elcg_rps,,p,,TRUE
E_WND_ON,TRUE,WIND_ONSHORE,ethos,elcg_rps,10,p,tech_curtailment,FALSE
E_NGS_CT,TRUE,NG_CT+GAS_CT,ng,elcg,,p,,TRUE
E_NGS_CG,FALSE,NG_CG,ng,elcg,,p,,TRUE
E_SOL_PV,TRUE,SOLAR_PV+SOLAR,ethos,elcg_rps,10,p,tech_curtailment,FALSE
E_HYD_DLY,TRUE,HYDRO_DAILY,ethos,elcg_rps,,p,,FALSE
E_HYD_ROR,TRUE,HYDRO_RUN,ethos,elcg_rps,5,p,tech_curtailment,FALSE
E_COAL,FALSE,COAL,coal,elcg,,p,,TRUE
E_NGS_CC,TRUE,NG_CC,ng,elcg,,p,,TRUE
E_BIO_G,TRUE,BIOGAS,biogas,elcg_rps,,p,,TRUE
E_HYD_MLY,FALSE,HYDRO_MONTHLY,ethos,elcg_rps,,p,,FALSE
E_OIL_ST,FALSE,OIL_ST,oil,elcg,,p,,TRUE
E_DIES_CT,FALSE,DIESEL_CT,diesel,elcg,,p,,TRUE
E_NUC,TRUE,NUCLEAR,u_nat,elcg_rps,,pb,,TRUE
E_OIL_CT,FALSE,OIL_CT,oil,elcg,,p,,TRUE
E_BIO_M_CG,FALSE,BIOMASS_CG,biomass,elcg_rps,,p,,TRUE
E_COAL_CCS,FALSE,COAL_CCS,coal,elcg,,p,,TRUE
E_DIES_ST,FALSE,DIESEL_ST,diesel,elcg,,p,,TRUE
E_GSL_CT,FALSE,GASOLINE_CT,gasoline,elcg,,p,,TRUE
E_GEO,FALSE,GEOTHERMAL,ethos,elcg_rps,,p,,FALSE
E_HYD_ANN,FALSE,HYDRO_ANNUAL,ethos,elcg_rps,,p,,FALSE
E_NGS_CCS,TRUE,NG_CCS,ng,elcg,,p,,TRUE
E_NUC_SMR,TRUE,NUCLEAR_SMR,u_enr,elcg_rps,,pb,,TRUE
E_BAT,TRUE,STORAGE_LITHIUM+STORAGE_ SOLID+STORAGE,elc_tx,elc_tx,,ps,,FALSE
E_HYD_PMP,TRUE,STORAGE_PUMP,elc_tx,elc_tx,,ps,,FALSE
E_WND_OFF,TRUE,WIND_OFFSHORE,ethos,elcg_rps,,p,tech_curtailment,FALSE
E_CAS,TRUE,STORAGE_AIR,elc_tx,elc_tx,,ps,,FALSE
